company_name,country,region,industry,company_size,estimated_deal_value_usd,engagement_signal,score,tier,ai_rationale,ai_opening_line
Andina AgroExport,Colombia,LATAM,Agribusiness,180,250000,hot,76.2,A,,
Atlas Government Services,Saudi Arabia,MENA,Government / Public Sector,1200,1200000,cold,75.5,A,,
Gulf Trade Partners,UAE,MENA,Logistics & Trade,300,500000,hot,74.0,B,,
Pampa Energy Holdings,Argentina,LATAM,Renewable Energy,220,400000,warm,70.0,B,,
Sahara Fintech,Saudi Arabia,MENA,Fintech,80,120000,hot,67.5,B,,
Continental Foods Mexico,Mexico,LATAM,Agribusiness,150,220000,warm,65.5,B,,
Solis Renewables,Brazil,LATAM,Renewable Energy,90,180000,warm,64.5,B,,
Lusitana Properties,Portugal,EU,Real Estate,40,150000,hot,59.8,B,,
Verde Capital,Brazil,LATAM,Fintech,60,90000,warm,59.2,B,,
North Sea Logistics,Italy,EU,Logistics & Trade,500,300000,cold,41.5,C,,
